path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/settings/EnhancedSettingsManagement.tsx,/src/components/settings,EnhancedSettingsManagement.tsx,False,EnhancedSettingsManagement,10,1,True,False,False,False
/src/components/settings/SupabaseIntegrationStatusDashboard.tsx,/src/components/settings,SupabaseIntegrationStatusDashboard.tsx,False,SupabaseIntegrationStatusDashboard,8,1,True,False,False,False
/src/components/settings/CompleteSISDashboard.tsx,/src/components/settings,CompleteSISDashboard.tsx,False,CompleteSISdashboard,11,1,True,False,False,False
/src/components/schedule/ClassesManagement.tsx,/src/components/schedule,ClassesManagement.tsx,False,ClassesManagement,14,2,True,False,False,False
/src/components/schedule/AdvancedScheduleFilters.tsx,/src/components/schedule,AdvancedScheduleFilters.tsx,False,AdvancedScheduleFilters,11,1,True,False,False,False
/src/components/customers/CustomerManagement.tsx,/src/components/customers,CustomerManagement.tsx,False,CustomerManagement,15,2,True,False,False,False
/src/components/customers/CustomerDetailDialog.tsx,/src/components/customers,CustomerDetailDialog.tsx,False,CustomerDetailDialog,6,1,True,False,False,False
/src/components/customers/CustomerSegmentDialog.tsx,/src/components/customers,CustomerSegmentDialog.tsx,False,CustomerSegmentDialog,8,1,True,False,False,False
/src/components/customers/CustomerImportDialog.tsx,/src/components/customers,CustomerImportDialog.tsx,False,CustomerImportDialog,7,1,True,False,False,False
/src/components/customers/CustomerBulkActionsDialog.tsx,/src/components/customers,CustomerBulkActionsDialog.tsx,False,CustomerBulkActionsDialog,7,1,True,False,False,False
/src/components/dashboard/KPICards.tsx,/src/components/dashboard,KPICards.tsx,False,KPICards,4,1,True,False,False,False
/src/components/dashboard/TodayOverview.tsx,/src/components/dashboard,TodayOverview.tsx,False,TodayOverview,5,1,True,False,False,False
/src/components/dashboard/RevenueChart.tsx,/src/components/dashboard,RevenueChart.tsx,False,RevenueChart,5,1,True,False,False,False
/src/components/dashboard/ProductsAndCustomers.tsx,/src/components/dashboard,ProductsAndCustomers.tsx,False,ProductsAndCustomers,4,1,True,False,False,False
/src/components/core/OnboardingChecklist.tsx,/src/components/core,OnboardingChecklist.tsx,False,OnboardingChecklist,5,0,False,False,False,True
/src/components/core/BookingEngine.tsx,/src/components/core,BookingEngine.tsx,False,BookingEngine,16,2,True,False,False,False
/src/components/core/AdvancedScheduleManager.tsx,/src/components/core,AdvancedScheduleManager.tsx,False,AdvancedScheduleManager,15,2,True,False,False,False
/src/components/core/ComprehensiveRegistrationSystem.tsx,/src/components/core,ComprehensiveRegistrationSystem.tsx,False,ComprehensiveRegistrationSystem,16,2,True,False,False,False
/src/components/core/CancellationRefundSystem.tsx,/src/components/core,CancellationRefundSystem.tsx,False,CancellationRefundSystem,13,2,True,False,False,False
/src/components/core/SupabaseIntegrationService.tsx,/src/components/core,SupabaseIntegrationService.tsx,False,"SupabaseIntegrationService,supabaseService",2,1,True,False,False,False
/src/components/core/CustomerWalletManager.tsx,/src/components/core,CustomerWalletManager.tsx,False,CustomerWalletManager,14,2,True,False,False,False
/src/components/core/ComprehensiveRegistrationSystem-fixed.tsx,/src/components/core,ComprehensiveRegistrationSystem-fixed.tsx,False,ComprehensiveRegistrationSystem,16,0,False,False,False,True
/src/components/operations/ProductsManagement.tsx,/src/components/operations,ProductsManagement.tsx,False,ProductsManagement,11,1,True,False,False,False
/src/components/registrations/RegistrationManagement.tsx,/src/components/registrations,RegistrationManagement.tsx,False,RegistrationManagement,12,2,True,False,False,False
/src/components/auth/AuthProvider.tsx,/src/components/auth,AuthProvider.tsx,False,"AuthProvider,useAuth",2,20,True,False,False,False
/src/components/auth/AuthLayout.tsx,/src/components/auth,AuthLayout.tsx,False,AuthLayout,2,1,True,False,False,False
/src/components/auth/SignInForm.tsx,/src/components/auth,SignInForm.tsx,False,SignInForm,7,1,True,False,False,False
/src/components/auth/SignUpForm.tsx,/src/components/auth,SignUpForm.tsx,False,SignUpForm,8,1,True,False,False,False
/src/components/auth/ForgotPasswordForm.tsx,/src/components/auth,ForgotPasswordForm.tsx,False,ForgotPasswordForm,5,1,True,False,False,False
